tipo_grafo,busca_backtraking_10%,busca_backtraking_25%,busca_backtraking_50%,busca_backtraking_75%,busca_backtraking_average,busca_BTSL_10%,busca_BTSL_25%,busca_BTSL_50%,busca_BTSL_75%,busca_BTSL_average,busca_BTDSATUR_10%,busca_BTDSATUR_25%,busca_BTDSATUR_50%,busca_BTDSATUR_75%,busca_BTDSATUR_average
1.0,1.1637210845947266e-05,1.113414764404297e-05,9.820461273193359e-06,0.0,8.147954940795898e-06,0.0,0.0,1.032114028930664e-05,9.860992431640625e-06,5.045533180236817e-06,2.0127296447753907e-05,9.484291076660157e-06,1.5790462493896485e-05,1.15966796875e-05,1.4249682426452636e-05
2.0,2.4831295013427736e-05,1.9977092742919923e-05,2.89154052734375e-05,4.1201114654541016e-05,2.8731226921081548e-05,2.60162353515625e-05,3.0884742736816404e-05,4.36711311340332e-05,3.3521652221679686e-05,3.3523440361022946e-05,3.3431053161621093e-05,4.6401023864746095e-05,4.022121429443359e-05,4.004478454589844e-05,4.0024518966674805e-05
3.0,6.809711456298828e-05,7.837533950805664e-05,7.290840148925782e-05,7.386684417724609e-05,7.331192493438721e-05,8.205652236938477e-05,6.734609603881837e-05,9.217023849487304e-05,8.626222610473633e-05,8.195877075195312e-05,0.00010365486145019531,0.00010011434555053712,0.000102081298828125,9.067296981811523e-05,9.913086891174317e-05
4.0,0.0001282811164855957,0.00013481378555297853,9.365558624267578e-05,0.00021909475326538087,0.00014396131038665771,0.0001214456558227539,0.00013844728469848634,0.0005605888366699219,0.00013527631759643554,0.00023893952369689943,0.00011393547058105469,0.00014908313751220702,0.0001631808280944824,0.00015010833740234376,0.00014407694339752197
5.0,0.00019319057464599608,0.0001976323127746582,0.00021849870681762696,0.00014762401580810546,0.00018923640251159666,0.0002709841728210449,0.00018159389495849609,0.0001678752899169922,0.00015782833099365235,0.00019457042217254635,0.0003191614151000977,0.0004022073745727539,0.0002574300765991211,0.00024648666381835936,0.000306321382522583
6.0,0.00032661676406860353,0.0006317472457885742,0.00047689199447631836,0.0004320502281188965,0.00046682655811309816,0.0003040027618408203,0.00036601543426513673,0.00022933244705200195,0.0003202676773071289,0.00030490458011627196,0.0004616189002990723,0.00031605720520019534,0.0003099942207336426,0.0003347921371459961,0.0003556156158447266
7.0,0.0009192848205566407,0.00048039674758911134,0.000497729778289795,0.0004906535148620605,0.0005970162153244019,0.0003751516342163086,0.00040411949157714844,0.0004453563690185547,0.0004499697685241699,0.00041864931583404544,0.0004266715049743652,0.0008239030838012695,0.000445098876953125,0.0005110526084899903,0.0005516815185546875
8.0,0.0005552124977111816,0.0005811905860900879,0.0006409835815429688,0.0006355619430541992,0.0006032371520996093,0.000616464614868164,0.0007280421257019043,0.0004773879051208496,0.00048236370086669923,0.0005760645866394043,0.0006433868408203125,0.00043018817901611326,0.0004807353019714355,0.0006344318389892578,0.0005471855401992798
9.0,0.000779731273651123,0.0013282299041748047,0.0010124611854553222,0.0009710621833801269,0.0010228711366653443,0.0008113455772399903,0.0008735799789428711,0.0008928203582763672,0.0009295511245727539,0.0008768242597579956,0.0010195827484130858,0.0006437468528747559,0.0007983732223510742,0.0009539055824279785,0.0008539021015167235
10.0,0.0009012913703918457,0.0011398887634277344,0.0012052559852600098,0.0018800830841064454,0.0012816298007965088,0.0008674502372741699,0.0008327150344848632,0.0010890650749206543,0.001072869300842285,0.0009655249118804931,0.0008508825302124024,0.0012187123298645019,0.0009772253036499023,0.001026318073272705,0.001018284559249878
11.0,0.0013329672813415527,0.0014323782920837402,0.0018651962280273437,0.002371499538421631,0.0017505103349685668,0.0009088468551635742,0.0011837220191955567,0.0013758611679077148,0.0014429903030395508,0.001227855086326599,0.0010072970390319824,0.0013844895362854005,0.0011574077606201173,0.0013970589637756347,0.0012365633249282837
12.0,0.0013665080070495606,0.0017871975898742676,0.002896707057952881,0.0026197743415832518,0.0021675467491149903,0.0013837909698486328,0.0013826727867126466,0.0017591452598571778,0.0017606759071350099,0.001571571230888367,0.0012906646728515624,0.0014423060417175294,0.002108898162841797,0.0021323347091674804,0.0017435508966445923
13.0,0.002628953456878662,0.0026613664627075195,0.003708944320678711,0.004293944835662842,0.0033233022689819337,0.0024158382415771485,0.0020716881752014162,0.0028438162803649902,0.0028769755363464355,0.0025520795583724976,0.0013234734535217286,0.0016322708129882812,0.0020467448234558106,0.002251126766204834,0.0018134039640426635
14.0,0.0021261811256408692,0.003587174415588379,0.005634932518005371,0.004914822578430175,0.004065777659416199,0.0017863774299621581,0.0026653933525085448,0.0029785752296447752,0.0029197978973388673,0.0025875359773635865,0.0016798233985900878,0.0023773384094238283,0.0025047898292541505,0.0027627635002136232,0.0023311787843704225
15.0,0.002991924285888672,0.004748234748840332,0.007074177265167236,0.007194502353668213,0.005502209663391114,0.002754225730895996,0.0025687527656555174,0.0029871153831481936,0.002985525131225586,0.002823904752731323,0.00218306303024292,0.0024057817459106445,0.00291001558303833,0.0030775952339172365,0.002644113898277283
